,review_id,compound_unclean
358,R17TH7PVR4TM4P,0.8105
359,R1HJP9RNAZ688V,0.2732
360,R2T0XBD4RSMGZT,0.9191
361,R3K5BMVISB99X6,0.2363
362,R4T5EHI54EVPJ,-0.7717
363,R18AHFHNVF3BKI,0.7245
364,R10KDGG28D2M5I,0.09
365,R34O5JIO61UOG5,0.9338
366,R3L148PUUTGR8N,0.0
367,R14MDQZZSTRM97,-0.5569
368,R1TWPAWD4N2I1D,0.5627
369,R1UDVY5L6LM51D,0.7964
370,R1GPOMHSJDCT2G,0.7964
371,R3205ZN0LI4C59,0.6597
372,R15H4EC365J21,0.8204
373,R2LOFMHIL5B0C4,-0.1065
374,R20MF1IPAUS10G,0.0
375,RKSM59RISDFMQ,0.7351
376,R1FGHIJOETM4QM,0.0
377,RXK69A0SHFYMY,0.7397
378,R4VOAPDEDOYLA,0.6249
379,R3W50NWLVM311T,-0.7096
380,R2F8SGDLEZCVNU,0.5106
381,RRN1O6G95PH9J,0.0
382,R2D8LGAK7LW3Y8,0.714
383,R1IE03WRE7N20L,-0.9816
384,R2KF3RP4ILCMXW,0.9725
385,R2QSK9S8OO2COA,0.2716
386,R3OYCHU8AITB8Q,0.6124
387,RKVTRTJME5GSH,0.0
388,R1FX9FJTL3SKKU,0.5271
389,RQ4BWGM9C7S4X,0.5475
390,R2CS1DK8SHU7IK,0.952
391,RUX3YUVHRY7ID,0.9754
392,R2WOAM132QSGAG,0.5574
393,R3SWCZU6HPQ4MA,-0.6486
394,R3UMRU0YZF8TNP,0.8316
395,R19KUMCS9B61IS,0.5987
396,RGVWLBLQ9CARR,-0.9337
397,R36RH0803WBM0D,0.0
398,R2JFLO1ADSRKI8,0.7906
399,R2MM2GASVMU6DN,0.8126
400,R2KYRF005TAK5K,0.6249
401,R1DA0X9P660JV0,-0.5329
402,R7CSFIE5ME0NX,0.4588
403,RW3IPSERDKH3S,-0.296
404,RMQ7JE4HHFXRP,0.4404
405,R28MUTG29WSVU6,0.8777
406,R1QCGKU2JCNXXH,-0.3182
407,R3Q0YJO5WH53HW,0.9761
408,R2TJ8SPN7GVVLI,0.939
409,RMQ6JLV9TH3LU,0.9803
410,R30KC5ZEJG9TRT,-0.3384
411,R3EZENT0N48ROI,0.734
412,R3V6OMOV1YJYWM,-0.2523
413,RODRVH0D5O4Y1,0.4404
414,RW0BV0NWX3BI0,0.9451
415,R24CBO6JXTGW8F,-0.8257
416,R6IOL603H6OWL,0.2023
417,RR0FSKCEDU1ZL,-0.3736
418,R1X32OW8XWCN3I,0.9816
419,R1CCDUX6ESZE3W,0.8436
420,R1JY0FULUX4717,0.0772
421,RA7XJFBG15XEM,0.6369
422,RLD3MDTUH5POL,0.0
423,R2Y3RT6FZ372JY,0.8478
424,R3JMFOQAZNAQMK,0.9577
425,RDSIVGBD06FP3,0.807
426,R20WTWZIDBWTNC,0.6239
427,R2Y9U3WYUSH1FU,0.8484
428,R2VUWXZU6PFI61,0.938
429,R2EFYS7OEWYMLA,-0.4215
430,R3CE7QSSDHWU4F,-0.4767
431,R1OPXB0I06ZM2H,0.8625
432,RERJ8U7YRMV38,0.6486
433,R3BGW6DVK6DVJQ,-0.3612
434,RU4ILCDH2GN77,-0.4404
435,R1HDJDZIOFW0E2,0.0
436,R2QF8YVM9PILYM,0.4404
437,R37CV45NTNGNPS,0.8977
438,R3HR8C94LXR54U,-0.6261
439,R1Q8QHHF6K0MUR,0.807
440,RQR7VNBB9TCSW,-0.4767
441,R17VC20TMVUV1C,0.2192
442,R12XAO2OSWL4T,0.2382
443,R8XORMUCAJA7A,-0.8762
444,R1ICCARX4FQ073,0.671
445,R3LTWVFTLXF642,0.9386
446,R1ZMT1T66CYAJ,-0.4588
447,R2G01Q2XFEUQXG,-0.4404
448,R34JAM3HNTPDP7,0.4437
449,R1I5NTQEECERUX,0.9938
450,R1C85SVG0UVEZD,-0.7618
451,R251LAVFUFQUOL,0.881
452,R22H2UYZ2P039T,-0.7911
453,RI5T2SKQXJZO9,-0.6093
454,RXY3GG65JPRVR,-0.6283
455,R3AZICL3DCNMDJ,0.5719
456,R3K7SS177DHQ3V,0.9184
457,R1P0RUB8X7EAP9,-0.765
458,R3QEJQD1OLMBIA,0.7841
459,R212TLAXUN30WQ,-0.636
460,R2DTIT2XOPU48M,0.9871
461,RVLICW4HJN2QX,0.5632
462,R2YB7J4QPP4Q3P,0.3384
463,R3J01KRMP5Q95N,0.9538
464,R3U160NGKTVW49,0.9957
465,R1X5MS0IJF1QUJ,0.5371
466,RFVE5U32PUANZ,0.7579
467,R9A89T35VZSVW,-0.431
468,RD7MWCARZKA5Z,0.9092
469,RWEYS327JRKC8,-0.0489
470,R3OMSM9XB7X14U,0.5358
471,R8Z5VK8T7746S,0.9081
472,R1T7C1C9QJ1UJK,0.5719
473,R220VI34BLHQZN,-0.1027
474,R1C5GDOVP36K2Q,0.7783
475,R3QVPNZ7G9X744,0.9243
476,R176MFKCDBGMV2,0.8316
477,R25NSG24NM4TLD,0.8996
478,RBHH2L95OZW8P,0.3626
479,RIQVMACBRZG8Z,0.0141
480,R3OXRQSF8KA6V2,0.5859
481,ROJDDMYINXIK2,-0.2924
482,R36921V3SM3QEV,-0.9707
483,R2V1NZ9K72YZTY,0.7351
484,R15DFE5IXAS0A7,-0.3713
485,R32Q4TIVG1CAE,0.3753
486,R7T8RO1XTKJMB,-0.638
487,R1Y0PL5JSMUXUW,0.8201
488,R2RGPYLCO7C29,-0.2481
489,RZ6K9WIAUBKTM,0.6249
490,R3J420DNBE2OU,-0.5113
491,R18JWT6OR8S86M,-0.6256
492,R5G7G1CFWENZ8,0.6826
493,R23QPTW19NI4ZL,0.4019
494,R26567ZHWEL86T,0.9398
495,RKAYI062NRTTI,0.1724
496,R1CPFAMGZIXW7Z,0.6486
497,R2CL5BMJ3G940Y,0.9269
498,R1PG1C43UYBR77,-0.507
499,R30K0MQUHTA0VN,0.9572
500,R2BVMM786J3OCI,-0.3804
501,R37P5VXL1IEU13,0.0
502,R3NJ2HXZL08I7F,0.6249
503,RX1ZUVGBH3HKC,0.9972
504,R30HHT87LEQ58T,0.9355
505,R3ROW1FM562STG,0.9867
506,RG0QA5RXVTVO8,0.9693
507,R201TOS3D2FR4,0.7906
508,R3L2W1D54JWICW,0.743
509,RQH0B0GRUXI9N,-0.858
510,R3NYXFU74T63Y5,0.6588
511,R5YFC5G8V2B3I,0.9775
512,RQBGUU0C58CV2,0.8816
513,R37VH3ZT32NP6S,-0.3612
514,RZBF1BFVYHT6L,0.6249
515,R1KO8SKTLRRMJF,0.6249
516,R1EZV3UO6LP33L,0.9348
517,RB49Q8LQ3H1BQ,0.2732
518,R3HIDNGO09OAVC,0.6369
519,RVINJTQFRD1JQ,-0.7579
520,RTYMVDZN8JSVL,0.6619
521,RGI0QIDX71RDM,-0.5864
522,RKXNZX22HQZEE,0.9981
523,R2B2ASOMKPG2Y1,0.6249
524,RPNCLJWGOLNS2,0.737
525,R2PYJM9JEO9E8X,-0.1779
526,R16TWDB4H6WQZK,0.4588
527,R11ZEQ1YNUORO8,0.7351
528,RNU6IDOP7BV0Y,0.5719
529,R2T6PILHX8VPIR,0.6714
530,R261M5U6WLRFLF,0.4404
531,R1CNON69VWOU0,0.9231
532,R5THFZT2H51RX,0.6908
533,R32PTFHFWY9S1L,0.0
534,R2A8RKJ6X71CKT,0.9313
535,RTSIB49LN0D2L,0.9572
536,R2PFXY2EIZMD3K,-0.3865
537,RCM91KQW0NCCG,0.128
538,R25XMDAE573J22,0.6249
539,R2K45IY0NO70ZI,0.9955
540,RVRMVCPZKM9PT,-0.5994
541,R3UH2U55T1ZSA4,0.4404
542,RK8P69Y6XOLSZ,-0.631
543,RSWCOK46I1UAU,-0.2138
544,RIVCWT3LM0G2E,0.8452
545,R3IK8LUYPWCU9H,-0.3626
546,R32OZOWQJ0FHI1,0.6249
547,R1YCDNKNNDS7W,0.8395
548,R3REJQGN2U5WOQ,-0.9265
549,R37RXWJQ6Q4EAL,0.9062
550,R14DIBP09XNI5U,0.0
551,R2VLGWA3RDFYJZ,0.6369
552,R320MQHTFW6U61,0.9836
553,R2NOED2XUPTMI7,0.9537
554,R23S0G0SVPC0I8,0.0772
555,R9MZ0TK5X4RG8,0.9936
556,R1V8PH2CAJPJYC,-0.2263
557,RC14CXC3Q9WKX,-0.2288
558,R22040I6BN2SC,0.7225
559,R2J4VTUI1XQN0U,0.0
560,R2OLO7UMMUEW0K,0.5244
561,R2QUV0KLG38Y7U,-0.9651
562,RJNTR3P11PET9,-0.09
563,RA7T9DL1KN5HL,0.8883
564,R3D38NWGN3FIJ0,0.9423
565,R1AFAY6B0JXKY7,0.7704
566,R1GEZTNGMZPBDV,0.2732
567,R2B8PKDAHON0Z,0.9001
568,R36THGSJQMXR8N,0.3182
569,RPINQU6EY687P,0.4588
570,R36YDBEXGFB8T8,0.8324
571,RJD8L4SVUCRIH,0.6249
572,R30CS2D74HKDNN,0.7003
573,R3STZQPYKZJZX5,0.931
574,R3502XBDHL0EOI,0.765
575,R2T9I2WBUVXEPY,0.4404
576,R2A1RHIYH9SQUU,-0.6694
577,R3DWYZQFJ8GCID,-0.4215
578,RR92UT5QXQR96,0.6249
579,R1RP5STHB2OSLK,0.7469
580,R24IUFY6ZMRKO4,-0.8419
581,R1E7LAIG3WUF9U,0.872
582,R14MS5UL9B09MX,0.5719
583,RSR73GAU4K6VY,0.8722
584,R16ASFCV1UG3HO,0.489
585,R34PFW1NK782KD,-0.2462
586,RPRAMCCSPBW7X,0.3892
587,R2IQMB4IO2ZIL6,0.6868
588,R1ES7WGUKUODS8,0.4404
589,R1IUX33P1ZXF78,0.8728
590,R2RVO54YYW9VOJ,0.0
591,R1NJ9ZP8WVOQH4,0.8481
592,R2SEYAMD3EGFUL,0.6124
593,R2MRNNN4E3C2P7,0.6588
594,R39NVX27IOXXJT,0.993
595,RMG9EMNMRHPOR,0.6696
596,R1MRDVL0P65HFI,0.6428
597,R1MWAAB5QG3YRP,0.5837
598,RKG895EF1NXPE,0.9265
599,R2UY73I3Y296QJ,0.2732
600,R35BI4RK0JRYHR,0.9213
601,R31824NSOE06LB,0.8658
602,RTJBKRG86OEOQ,0.3384
603,R26GRUQ3SQJZJI,0.8949
604,R1A7M9YQAGFXC0,-0.4497
605,R2715IV60MQSPD,0.4215
606,R2O76VGL26BG8L,-0.6912
607,R3RM4W5PQ61FWQ,0.2732
608,RLFHMXRCG4MAL,-0.4215
609,R191UTQHZRDB7U,0.7693
610,RVIN3PS40RVAE,0.8478
611,R1JK44UXHWOB3S,0.765
612,R23YM24GPNN5V3,0.6588
613,R5AX9X99RCCSC,0.7272
614,RZ1H6HCKTGNR,0.9392
615,R3H4LYDEUDKU4J,0.9666
616,R3GRZUH0EEFPNU,0.9036
617,R3W41W58K5BISA,0.6249
618,R1SAT8I3TVVXX6,0.9606
619,R2XOVDFSKFIZYJ,0.9168
