,review_id,compound_unclean
383,R5B41OB4OJMF8,0.0
384,R1VBBV8NBB9OVV,0.6696
385,R2P2C53T8NF0Q9,0.1513
386,R7JLRGMZSWYGP,-0.6369
387,RL41HXZWU8NAA,0.0
388,R30R3L8EGPB814,0.8386
389,R1O0QU8UN5TJV1,0.8497
390,R3868LTIZC2VPH,0.9475
391,R26WEFZNWAJXN,0.992
392,R1J8QY7PLHBYP9,0.0
393,R1FUL0DH8LD3B2,0.8953
394,R3DAV1RU32KB6,0.8715
395,R1BSH8GGV2CRUT,0.5106
396,RSM8IIZNXLMJ4,0.6249
397,R1SO3XDID39EBP,0.6114
398,R1KSZNT9HY67RT,0.3384
399,RWBK1UIJN8D4V,-0.1832
400,R123DWCGTXFNY1,0.7017
401,R2XKM7FGYWZBCO,-0.636
402,R8AFLAH1UKGZ7,0.6892
403,R287CBOQ7YGCZQ,0.5843
404,R52S6O439TN6C,0.6478
405,R3MS0MZUN0JIDD,-0.8376
406,R1PRP7FZCJVQ2H,0.5379
407,R5HAET8ZNP32Z,0.296
408,R1JRLMAKBTCLN5,0.5374
409,R1GQVPF1S6U7OQ,0.951
410,R12UVW371KNY2E,0.3612
411,RE8NDA7SZ400N,0.4754
412,RTB553I898XFZ,0.9931
413,R2Y9Y4MC5IY1UC,0.3182
414,RNFO36T5M7UJU,0.6249
415,RAQ54PZPP1FS8,0.0
416,R2PZPA3POOET86,0.9134
417,RYO914LZ95OT5,0.7579
418,R15BAAXCAM7VBC,0.3167
419,RLSGF7Y78Y4FC,-0.1137
420,R10L0MKDYMTB,0.4153
421,R2SXKPGHMLPZDD,0.3657
422,R1761OIP9OG1HD,0.9536
423,R1KYRPJ23OCRDV,0.8687
424,R1IYH8CLA3P4DN,-0.743
425,R3BMI3FSRW0XYI,0.8392
426,R1ID37TXZJTY6W,0.6115
427,R19GQSK9BI9WZ7,0.296
428,RSZQYUCFJH42X,-0.7904
429,R3C7THUQGFP7MS,0.4926
430,RLEKWGUC5Y1AW,0.6588
